word,language,count,pos,tsne_x,tsne_y
sentence,en,3,NOUN,37.29588,39.69608
horse,en,27,NOUN,62.577984,-11.385261
wood,en,17,NOUN,50.783184,-26.91005
rank,en,20,NOUN,0.098741256,-0.3324996
direction,en,1,NOUN,18.101036,17.580177
guide,en,1,NOUN,9.683786,-30.98945
weight,en,1,NOUN,47.203056,11.992376
fighting,en,1,NOUN,3.0208054,8.572745
rose,en,11,NOUN,57.911625,-25.845108
treatment,en,2,NOUN,51.797413,20.100378
fame,en,2,NOUN,31.978151,-30.472034
capacity,en,1,NOUN,23.346098,45.53317
exchange,en,7,NOUN,-7.5451965,21.923773
translation,en,6,NOUN,28.234468,-11.965444
estate,en,6,NOUN,20.07342,4.568371
piece,en,37,NOUN,30.225306,8.989865
growth,en,1,NOUN,9.016963,23.582706
murder,en,3,NOUN,36.88049,41.744183
revolution,en,1,NOUN,-0.03499805,8.609528
medicine,en,1,NOUN,20.24718,-15.115746
garden,en,31,NOUN,24.164072,-14.827895
height,en,6,NOUN,46.90148,10.902528
morning,en,12,NOUN,15.010142,7.496625
argument,en,2,NOUN,22.361792,33.988914
falls,en,1,NOUN,49.800167,12.391514
learning,en,7,NOUN,24.689964,28.690033
choice,en,7,NOUN,15.254796,37.264225
secret,en,8,NOUN,1.3658358,18.244406
poet,en,5,NOUN,28.70067,-9.493645
guard,en,13,NOUN,3.8482184,1.8963253
freedom,en,3,NOUN,45.054497,39.112007
taylor,en,2,NOUN,55.22637,-31.457815
quarter,en,3,NOUN,15.630566,11.403453
copy,en,4,NOUN,30.659004,6.900275
description,en,22,NOUN,2.2445555,39.17364
sort,en,47,NOUN,21.522701,26.773647
cell,en,2,NOUN,55.96849,15.700562
concert,en,2,NOUN,32.41828,-7.8871865
sub,en,1,NOUN,14.032768,-2.204293
safety,en,2,NOUN,13.442144,43.352333
painting,en,6,NOUN,36.063095,-16.984795
price,en,5,NOUN,4.4193172,26.08326
message,en,1,NOUN,7.074186,18.984142
memory,en,3,NOUN,22.66579,8.633184
fox,en,2,NOUN,65.98641,-14.244425
philosophy,en,3,NOUN,20.5632,-18.85623
floor,en,3,NOUN,38.5365,-25.744177
labour,en,4,NOUN,0.7538998,-4.617395
yard,en,3,NOUN,16.089071,11.567369
guest,en,1,NOUN,27.972675,-6.6233177
economy,en,1,NOUN,8.310457,23.247929
storm,en,4,NOUN,15.447253,2.473476
mile,en,15,NOUN,31.750586,-36.252094
bowl,en,1,NOUN,9.794904,7.0948987
damage,en,1,NOUN,48.80734,20.287834
fleet,en,1,NOUN,5.498788,-0.306158
theme,en,3,NOUN,33.654102,-5.1708355
ring,en,4,NOUN,48.433525,2.0967875
deputy,en,2,NOUN,3.781473,-7.8587646
difference,en,10,NOUN,16.58856,31.09948
animal,en,5,NOUN,62.49303,-16.802734
palace,en,29,NOUN,34.800133,-32.926308
understanding,en,3,NOUN,24.299175,29.096931
poetry,en,7,NOUN,29.164984,-9.568475
row,en,12,NOUN,-4.2429986,-39.221924
eye,en,41,NOUN,55.20892,11.405265
application,en,1,NOUN,13.947963,29.876364
steel,en,1,NOUN,44.726097,-21.650635
presence,en,1,NOUN,14.219794,22.685495
chance,en,5,NOUN,17.217836,39.929882
object,en,4,NOUN,17.477312,27.440796
defeat,en,1,NOUN,5.418844,9.080626
intelligence,en,3,NOUN,2.7564065,20.157463
